청년,도서관,박물관,미술관,공연장
79395,10,13,4,9
92444,4,8,3,5
48291,4,17,3,4
18433,3,0,1,1
6217,3,2,0,1
17854,3,2,1,1
10463,3,4,0,1
12702,4,2,0,2
7327,3,1,0,1
4755,2,21,2,1
6409,5,4,0,2
5104,2,5,1,2
9945,4,0,0,1
4394,2,2,0,2
4552,1,5,1,2
6071,2,6,2,1
5274,2,5,3,2
4224,1,1,1,1
84037,5,0,0,2
113679,6,0,0,0
65362,7,2,2,9
125706,9,5,0,0
72431,5,0,2,1
59273,2,1,0,1
136139,8,2,2,5
124800,5,0,1,3
67770,4,3,0,1
90446,6,0,0,1
234452,14,6,0,6
75892,6,1,0,2
178809,11,0,0,4
22787,2,2,0,1
111793,8,4,1,1
127721,7,1,4,4
120282,8,9,1,4
85777,5,1,1,2
81023,6,0,0,1
17543,3,4,2,2
50928,3,1,0,1
167085,12,7,4,2
78071,6,2,1,1
166634,12,2,1,5
80644,6,0,0,2
42529,3,2,1,0
77588,5,1,0,2
73467,8,7,2,3
124724,8,6,4,1
100658,7,1,0,2
128147,17,13,7,6
63705,5,3,2,1
61497,6,4,1,3
146003,7,4,2,3
295089,16,4,2,5
104661,6,5,2,2
61641,8,2,2,0
49642,7,6,0,1
25852,4,8,4,1
8998,2,2,0,1
10763,4,0,4,2
17567,6,7,3,0
54775,4,2,2,2
72216,2,1,0,2
39066,2,2,1,0
43622,6,0,0,1
49352,3,3,0,1
93853,8,10,1,5
25814,5,2,2,2
22333,3,1,2,1
166359,9,15,2,8
18703,4,6,0,1
63211,6,7,0,2
92650,8,3,0,2
3419,1,1,0,1
15579,2,1,0,2
10614,3,3,0,1
8459,3,6,0,1
5372,2,1,1,1
5227,1,2,0,1
4165,2,6,0,1
4875,1,1,0,1
10396,2,1,0,2
4745,1,3,0,1
53860,6,3,0,4
60873,3,2,1,3
65320,7,7,3,2
30861,1,3,1,2
31710,6,10,0,2
124407,7,3,0,4
19107,3,3,0,2
20230,2,3,1,1
14205,2,6,0,1
10195,5,7,0,2
90129,3,8,1,1
2534,1,2,0,1
4944,2,3,0,1
2778,2,1,1,2
1753,1,1,0,0
4710,1,0,0,1
5213,2,1,1,0
7018,1,2,0,1
8003,2,1,0,1
33122,4,3,0,1
9308,2,2,1,1
3115,1,2,0,0
9049,3,1,1,1
1065,1,1,0,1
31610,3,5,8,10
85009,5,0,0,7
51545,4,1,4,3
124484,4,6,2,3
139143,6,0,0,3
23643,2,4,0,14
81193,6,4,0,2
38396,5,0,0,1
36839,3,0,1,17
126195,6,3,1,2
102576,8,4,1,4
166356,9,1,1,4
72537,2,1,0,3
75098,5,3,0,2
57587,3,1,0,10
154774,6,1,3,8
129072,7,7,2,4
49944,3,3,0,2
11532,1,2,1,2
23392,1,2,1,0
19844,4,0,0,3
21500,1,3,0,1
94326,5,4,1,4
64567,3,3,0,3
72487,2,7,1,14
70129,5,2,0,3
94073,6,1,2,5
76408,2,1,1,1
64966,2,4,2,6
41606,1,1,0,1
48139,2,1,0,1
46603,2,0,0,4
59591,2,2,0,2
36608,8,1,0,2
61560,7,37,19,118
51300,6,17,3,16
84178,4,7,4,7
106189,8,3,3,7
139244,6,3,0,8
145707,6,5,0,1
110146,5,0,0,1
157608,11,9,4,10
81565,7,3,0,3
79396,7,2,0,4
142240,11,4,2,2
129030,9,2,1,1
131055,4,7,0,8
144881,7,5,0,24
116402,8,0,0,4
181285,9,2,1,2
129975,12,1,0,8
80391,4,0,0,2
142767,5,2,1,4
143409,6,1,0,1
216385,5,2,1,1
123297,8,4,5,12
175610,13,8,4,22
200929,12,5,2,5
127472,9,2,0,4
103852,12,7,0,2
51451,2,2,1,7
88114,5,3,0,3
41391,1,0,0,3
58715,8,0,0,2
56211,4,6,0,2
43599,4,9,1,5
13312,2,1,0,1
123328,10,4,1,4
120211,10,3,0,3
145092,4,3,0,2
144925,10,2,0,2
76369,5,2,0,2
160249,11,2,0,5
8855,2,4,3,0
2626,1,0,0,0
53717,4,6,5,4
64937,8,1,1,6
72890,9,7,1,2
27576,4,5,0,1
35819,6,1,1,1
7100,1,5,2,1
3528,2,0,1,1
2993,2,2,0,1
7866,4,3,4,1
4798,3,2,2,1
11496,3,1,4,1
5374,2,2,0,1
4899,1,6,2,1
11643,2,4,1,1
16754,3,5,3,0
19513,3,1,1,2
3960,2,0,2,0
8156,2,2,0,1
6792,4,2,1,1
8180,3,2,0,1
6250,1,2,5,1
3671,2,6,2,0
99573,7,7,6,14
97206,7,2,0,4
66096,6,3,2,5
68275,7,9,2,2
21328,5,5,1,3
12996,4,1,2,2
13744,5,2,1,1
20608,6,4,2,2
2552,1,2,0,1
2968,2,2,1,0
2712,2,0,1,1
2769,3,1,0,0
3208,2,2,1,1
8619,3,2,0,2
6873,2,2,2,1
131924,11,31,9,12
37762,11,31,12,3
75963,6,9,2,6
145944,6,0,0,3
21409,4,11,1,1
19733,5,2,1,1
107866,6,8,1,3
45151,5,1,1,1
27867,4,1,0,1
10406,2,0,0,1
40801,4,4,2,1
8680,5,4,0,1
10203,2,6,0,2
8078,2,2,0,1
4293,2,1,0,1
23222,3,3,1,3
13982,4,7,1,2
10305,3,5,0,1
47039,4,4,2,4
60018,3,1,2,3
88797,6,4,1,1
64069,5,2,4,0
53280,7,6,2,2
28845,6,6,0,2
3807,1,2,0,1
7493,2,2,0,1
6472,2,4,0,2
9925,2,1,0,1
25823,4,1,1,1
5088,1,3,0,1
30784,5,5,0,1
3691,3,2,0,1
